record_index,message_index,fragment_role,rule,source_file,source_project,commit_hash,range_start,range_end,has_test_case,test_files,test_kind,test_suite,test_command,test_run_status,line_total_in_range,line_covered_in_range,line_coverage_pct,branch_side_total_in_range,branch_side_covered_in_range,branch_coverage_pct,function_total_overlapping_range,function_covered_overlapping_range,function_coverage_pct,overlapping_coverage_functions,note,_source_csv
13,1,original,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/FinanceTemplate/FinancialManagement/scenes/tab/mine/src/main/ets/pages/EditNamePage.ets,agc-template-market-harmonyos-demos,b26d8054dada0583cca89ab1f2d5f8f967088d43,18,70,yes,agc-template-market-harmonyos-demos/FinanceTemplate/FinancialManagement/scenes/tab/mine/src/ohosTest/ets/test/EditNamePage.test.ets;agc-template-market-harmonyos-demos/FinanceTemplate/FinancialManagement/scenes/tab/mine/src/ohosTest/ets/test/EditPhonePage.test.ets;agc-template-market-harmonyos-demos/FinanceTemplate/FinancialManagement/scenes/tab/mine/src/ohosTest/ets/test/EditNamePageVM.test.ets;agc-template-market-harmonyos-demos/FinanceTemplate/FinancialManagement/scenes/tab/mine/src/ohosTest/ets/test/EditPhonePageVM.test.ets;agc-template-market-harmonyos-demos/FinanceTemplate/FinancialManagement/scenes/tab/mine/src/ohosTest/ets/test/EditPagesRender.test.ets,instrument-test,EditNamePageTest;EditPhonePageTest;EditNamePageVMTest;EditPhonePageVMTest;EditPagesRenderTest,"hvigorw --no-daemon onDeviceTest -p module=mine@ohosTest -p coverage=true -p scope=EditNamePageTest,EditPhonePageTest,EditNamePageVMTest,EditPhonePageVMTest,EditPagesRenderTest",passed,38,38,100.00,2,2,100.00,11,10,90.91,initialRender;anonymous_3;anonymous_5;anonymous_6;anonymous_7;anonymous_8;anonymous_9;anonymous_10;anonymous_11;anonymous_13;anonymous_14,"PR #24 acceptance: FinancialManagement EditNamePage lines 100%, functions 90.91%, branches 100%",code-clone_coverage.csv
13,1,similar,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/FinanceTemplate/FinancialManagement/scenes/tab/mine/src/main/ets/pages/EditPhonePage.ets,agc-template-market-harmonyos-demos,b26d8054dada0583cca89ab1f2d5f8f967088d43,18,70,yes,agc-template-market-harmonyos-demos/FinanceTemplate/FinancialManagement/scenes/tab/mine/src/ohosTest/ets/test/EditNamePage.test.ets;agc-template-market-harmonyos-demos/FinanceTemplate/FinancialManagement/scenes/tab/mine/src/ohosTest/ets/test/EditPhonePage.test.ets;agc-template-market-harmonyos-demos/FinanceTemplate/FinancialManagement/scenes/tab/mine/src/ohosTest/ets/test/EditNamePageVM.test.ets;agc-template-market-harmonyos-demos/FinanceTemplate/FinancialManagement/scenes/tab/mine/src/ohosTest/ets/test/EditPhonePageVM.test.ets;agc-template-market-harmonyos-demos/FinanceTemplate/FinancialManagement/scenes/tab/mine/src/ohosTest/ets/test/EditPagesRender.test.ets,instrument-test,EditNamePageTest;EditPhonePageTest;EditNamePageVMTest;EditPhonePageVMTest;EditPagesRenderTest,"hvigorw --no-daemon onDeviceTest -p module=mine@ohosTest -p coverage=true -p scope=EditNamePageTest,EditPhonePageTest,EditNamePageVMTest,EditPhonePageVMTest,EditPagesRenderTest",passed,38,36,94.74,2,2,100.00,11,10,90.91,initialRender;anonymous_3;anonymous_5;anonymous_6;anonymous_7;anonymous_8;anonymous_9;anonymous_10;anonymous_11;anonymous_13;anonymous_14,rerun passed: 40/40 tests,code-clone_coverage.csv
14,1,original,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/FinanceTemplate/FinancialManagement/scenes/tab/mine/src/main/ets/viewModels/EditNamePageVM.ets,agc-template-market-harmonyos-demos,b26d8054dada0583cca89ab1f2d5f8f967088d43,6,40,yes,agc-template-market-harmonyos-demos/FinanceTemplate/FinancialManagement/scenes/tab/mine/src/ohosTest/ets/test/EditNamePage.test.ets;agc-template-market-harmonyos-demos/FinanceTemplate/FinancialManagement/scenes/tab/mine/src/ohosTest/ets/test/EditPhonePage.test.ets;agc-template-market-harmonyos-demos/FinanceTemplate/FinancialManagement/scenes/tab/mine/src/ohosTest/ets/test/EditNamePageVM.test.ets;agc-template-market-harmonyos-demos/FinanceTemplate/FinancialManagement/scenes/tab/mine/src/ohosTest/ets/test/EditPhonePageVM.test.ets;agc-template-market-harmonyos-demos/FinanceTemplate/FinancialManagement/scenes/tab/mine/src/ohosTest/ets/test/EditPagesRender.test.ets,instrument-test,EditNamePageTest;EditPhonePageTest;EditNamePageVMTest;EditPhonePageVMTest;EditPagesRenderTest,"hvigorw --no-daemon onDeviceTest -p module=mine@ohosTest -p coverage=true -p scope=EditNamePageTest,EditPhonePageTest,EditNamePageVMTest,EditPhonePageVMTest,EditPagesRenderTest",passed,17,17,100.00,8,8,100.00,4,4,100.00,EditNamePageVM.instance;EditNamePageVM.init;EditNamePageVM.clear;EditNamePageVM.modify,rerun passed: 40/40 tests,code-clone_coverage.csv
14,1,similar,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/FinanceTemplate/FinancialManagement/scenes/tab/mine/src/main/ets/viewModels/EditPhonePageVM.ets,agc-template-market-harmonyos-demos,b26d8054dada0583cca89ab1f2d5f8f967088d43,6,40,yes,agc-template-market-harmonyos-demos/FinanceTemplate/FinancialManagement/scenes/tab/mine/src/ohosTest/ets/test/EditNamePage.test.ets;agc-template-market-harmonyos-demos/FinanceTemplate/FinancialManagement/scenes/tab/mine/src/ohosTest/ets/test/EditPhonePage.test.ets;agc-template-market-harmonyos-demos/FinanceTemplate/FinancialManagement/scenes/tab/mine/src/ohosTest/ets/test/EditNamePageVM.test.ets;agc-template-market-harmonyos-demos/FinanceTemplate/FinancialManagement/scenes/tab/mine/src/ohosTest/ets/test/EditPhonePageVM.test.ets;agc-template-market-harmonyos-demos/FinanceTemplate/FinancialManagement/scenes/tab/mine/src/ohosTest/ets/test/EditPagesRender.test.ets,instrument-test,EditNamePageTest;EditPhonePageTest;EditNamePageVMTest;EditPhonePageVMTest;EditPagesRenderTest,"hvigorw --no-daemon onDeviceTest -p module=mine@ohosTest -p coverage=true -p scope=EditNamePageTest,EditPhonePageTest,EditNamePageVMTest,EditPhonePageVMTest,EditPagesRenderTest",passed,17,17,100.00,8,8,100.00,4,4,100.00,EditPhonePageVM.instance;EditPhonePageVM.init;EditPhonePageVM.clear;EditPhonePageVM.modify,rerun passed: 40/40 tests,code-clone_coverage.csv
15,1,original,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/KidsTemplate/ChildrenEducation/scenes/tabs/minepage/src/main/ets/views/settings/TimeCtrl.ets,agc-template-market-harmonyos-demos,b26d8054dada0583cca89ab1f2d5f8f967088d43,90,100,yes,agc-template-market-harmonyos-demos/KidsTemplate/ChildrenEducation/scenes/tabs/minepage/src/ohosTest/ets/test/TimeCtrlRender.test.ets;agc-template-market-harmonyos-demos/KidsTemplate/ChildrenEducation/scenes/tabs/minepage/src/test/TimeCtrl.test.ets,instrument-test,TimeCtrlRenderTest,hvigorw --no-daemon onDeviceTest -p module=minepage@ohosTest -p coverage=true -p scope=TimeCtrlRenderTest,passed,10,10,100.00,0,0,N/A,6,6,100.00,initialRender;anonymous_3;anonymous_5;anonymous_16;anonymous_17;anonymous_20,rerun passed: 3/3 tests,code-clone_coverage.csv
15,1,similar,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/KidsTemplate/ChildrenEducation/scenes/tabs/minepage/src/main/ets/views/settings/TimeCtrl.ets,agc-template-market-harmonyos-demos,b26d8054dada0583cca89ab1f2d5f8f967088d43,114,124,yes,agc-template-market-harmonyos-demos/KidsTemplate/ChildrenEducation/scenes/tabs/minepage/src/ohosTest/ets/test/TimeCtrlRender.test.ets;agc-template-market-harmonyos-demos/KidsTemplate/ChildrenEducation/scenes/tabs/minepage/src/test/TimeCtrl.test.ets,instrument-test,TimeCtrlRenderTest,hvigorw --no-daemon onDeviceTest -p module=minepage@ohosTest -p coverage=true -p scope=TimeCtrlRenderTest,passed,10,10,100.00,0,0,N/A,6,6,100.00,initialRender;anonymous_3;anonymous_5;anonymous_21;anonymous_22;anonymous_25,rerun passed: 3/3 tests,code-clone_coverage.csv
16,2,original,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/KidsTemplate/ChildrenEducation/scenes/tabs/minepage/src/main/ets/views/settings/TimeCtrl.ets,agc-template-market-harmonyos-demos,b26d8054dada0583cca89ab1f2d5f8f967088d43,165,179,yes,agc-template-market-harmonyos-demos/KidsTemplate/ChildrenEducation/scenes/tabs/minepage/src/ohosTest/ets/test/TimeCtrlRender.test.ets;agc-template-market-harmonyos-demos/KidsTemplate/ChildrenEducation/scenes/tabs/minepage/src/test/TimeCtrl.test.ets,instrument-test,TimeCtrlRenderTest,hvigorw --no-daemon onDeviceTest -p module=minepage@ohosTest -p coverage=true -p scope=TimeCtrlRenderTest,passed,14,14,100.00,0,0,N/A,7,7,100.00,initialRender;anonymous_3;anonymous_5;anonymous_31;anonymous_32;anonymous_33;anonymous_35,rerun passed: 3/3 tests,code-clone_coverage.csv
16,2,similar,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/KidsTemplate/ChildrenEducation/scenes/tabs/minepage/src/main/ets/views/settings/TimeCtrl.ets,agc-template-market-harmonyos-demos,b26d8054dada0583cca89ab1f2d5f8f967088d43,189,203,yes,agc-template-market-harmonyos-demos/KidsTemplate/ChildrenEducation/scenes/tabs/minepage/src/ohosTest/ets/test/TimeCtrlRender.test.ets;agc-template-market-harmonyos-demos/KidsTemplate/ChildrenEducation/scenes/tabs/minepage/src/test/TimeCtrl.test.ets,instrument-test,TimeCtrlRenderTest,hvigorw --no-daemon onDeviceTest -p module=minepage@ohosTest -p coverage=true -p scope=TimeCtrlRenderTest,passed,14,14,100.00,0,0,N/A,7,7,100.00,initialRender;anonymous_3;anonymous_5;anonymous_36;anonymous_37;anonymous_38;anonymous_40,rerun passed: 3/3 tests,code-clone_coverage.csv
17,1,original,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/PhotographyTemplate/ImageProcessing/scenes/picture_beautification/src/main/ets/pages/PictureBeautification.ets,agc-template-market-harmonyos-demos,8d76d0299bf144b7f2530972b68a757879ffdb83,443,475,yes,agc-template-market-harmonyos-demos/PhotographyTemplate/ImageProcessing/scenes/picture_beautification/src/ohosTest/ets/test/List.test.ets;agc-template-market-harmonyos-demos/PhotographyTemplate/ImageProcessing/scenes/picture_beautification/src/ohosTest/ets/test/PictureBeautification.test.ets,instrument-test,PictureBeautificationTest,hvigorw --no-daemon onDeviceTest -p module=picture_beautification@ohosTest -p coverage=true -p scope=PictureBeautificationTest,passed,25,24,96.00,18,17,94.44,1,1,100.00,moveClipCanvasFreeType,PR #24 acceptance: PictureBeautification free-crop branch coverage at least 93.75%,code-clone_coverage.csv
17,1,similar,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/PhotographyTemplate/ImageProcessing/scenes/picture_beautification/src/main/ets/pages/PictureBeautification.ets,agc-template-market-harmonyos-demos,8d76d0299bf144b7f2530972b68a757879ffdb83,557,588,yes,agc-template-market-harmonyos-demos/PhotographyTemplate/ImageProcessing/scenes/picture_beautification/src/ohosTest/ets/test/List.test.ets;agc-template-market-harmonyos-demos/PhotographyTemplate/ImageProcessing/scenes/picture_beautification/src/ohosTest/ets/test/PictureBeautification.test.ets,instrument-test,PictureBeautificationTest,hvigorw --no-daemon onDeviceTest -p module=picture_beautification@ohosTest -p coverage=true -p scope=PictureBeautificationTest,passed,21,20,95.24,14,13,92.86,1,1,100.00,moveClipCanvasRatioType,successful 22-test report covers 13/14 branch sides; only switch default remains unreachable,code-clone_coverage.csv
18,1,original,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/ShoppingTemplate/Express/features/business_home/src/main/ets/components/HomeVisit.ets,agc-template-market-harmonyos-demos,64ebf8ef262d5720ab6d61df4482b3ff00efb555,8,59,yes,agc-template-market-harmonyos-demos/ShoppingTemplate/Express/features/business_home/src/ohosTest/ets/test/List.test.ets;agc-template-market-harmonyos-demos/ShoppingTemplate/Express/features/business_home/src/ohosTest/ets/test/HomeVisit.test.ets;agc-template-market-harmonyos-demos/ShoppingTemplate/Express/features/business_home/src/ohosTest/ets/test/ShippingInfo.test.ets,instrument-test,"HomeVisitTest,ShippingInfoTest","hvigorw --no-daemon onDeviceTest -p module=business_home@ohosTest -p coverage=true -p scope=HomeVisitTest,ShippingInfoTest",passed,9,9,100.00,0,0,N/A,6,6,100.00,anonymous_1;anonymous_2;anonymous_4;anonymous_5;anonymous_7;anonymous_8,rerun passed: 9/9 tests,code-clone_coverage.csv
18,1,similar,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/ShoppingTemplate/Express/features/business_home/src/main/ets/components/ShippingInfo.ets,agc-template-market-harmonyos-demos,64ebf8ef262d5720ab6d61df4482b3ff00efb555,9,61,yes,agc-template-market-harmonyos-demos/ShoppingTemplate/Express/features/business_home/src/ohosTest/ets/test/List.test.ets;agc-template-market-harmonyos-demos/ShoppingTemplate/Express/features/business_home/src/ohosTest/ets/test/HomeVisit.test.ets;agc-template-market-harmonyos-demos/ShoppingTemplate/Express/features/business_home/src/ohosTest/ets/test/ShippingInfo.test.ets,instrument-test,"HomeVisitTest,ShippingInfoTest","hvigorw --no-daemon onDeviceTest -p module=business_home@ohosTest -p coverage=true -p scope=HomeVisitTest,ShippingInfoTest",passed,9,9,100.00,0,0,N/A,7,7,100.00,anonymous_1;anonymous_2;anonymous_4;anonymous_5;anonymous_7;anonymous_8;initialRender,rerun passed: 9/9 tests,code-clone_coverage.csv
19,1,original,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/ShoppingTemplate/Express/features/business_mine/src/main/ets/pages/EditNamePage.ets,agc-template-market-harmonyos-demos,d7183319c204f878f978656cd7cd065cc8a48cbf,18,70,yes,agc-template-market-harmonyos-demos/ShoppingTemplate/Express/features/business_mine/src/ohosTest/ets/test/List.test.ets;agc-template-market-harmonyos-demos/ShoppingTemplate/Express/features/business_mine/src/ohosTest/ets/test/EditNamePage.test.ets;agc-template-market-harmonyos-demos/ShoppingTemplate/Express/features/business_mine/src/ohosTest/ets/test/EditPhonePage.test.ets,instrument-test,"EditNamePageTest,EditPhonePageTest","hvigorw --no-daemon onDeviceTest -p module=business_mine@ohosTest -p coverage=true -p scope=EditNamePageTest,EditPhonePageTest",passed,39,39,100.00,2,2,100.00,11,11,100.00,initialRender;anonymous_3;anonymous_5;anonymous_6;anonymous_7;anonymous_8;anonymous_9;anonymous_10;anonymous_11;anonymous_13;anonymous_14,device rerun passed; missing-user and normal save paths cover both userInfo branches,code-clone_coverage.csv
19,1,similar,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/ShoppingTemplate/Express/features/business_mine/src/main/ets/pages/EditPhonePage.ets,agc-template-market-harmonyos-demos,d7183319c204f878f978656cd7cd065cc8a48cbf,18,70,yes,agc-template-market-harmonyos-demos/ShoppingTemplate/Express/features/business_mine/src/ohosTest/ets/test/List.test.ets;agc-template-market-harmonyos-demos/ShoppingTemplate/Express/features/business_mine/src/ohosTest/ets/test/EditNamePage.test.ets;agc-template-market-harmonyos-demos/ShoppingTemplate/Express/features/business_mine/src/ohosTest/ets/test/EditPhonePage.test.ets,instrument-test,"EditNamePageTest,EditPhonePageTest","hvigorw --no-daemon onDeviceTest -p module=business_mine@ohosTest -p coverage=true -p scope=EditNamePageTest,EditPhonePageTest",passed,39,39,100.00,2,2,100.00,11,11,100.00,initialRender;anonymous_3;anonymous_5;anonymous_6;anonymous_7;anonymous_8;anonymous_9;anonymous_10;anonymous_11;anonymous_13;anonymous_14,device rerun passed; missing-user and normal save paths cover both userInfo branches,code-clone_coverage.csv
20,1,original,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/KidsTemplate/PostpartumCareCenter/scenes/activities/src/main/ets/view/ActivityBooking.ets,agc-template-market-harmonyos-demos,22d686590d1ffc25bea875ac504fc22c1054b45c,70,88,yes,agc-template-market-harmonyos-demos/KidsTemplate/PostpartumCareCenter/scenes/activities/src/ohosTest/ets/test/List.test.ets;agc-template-market-harmonyos-demos/KidsTemplate/PostpartumCareCenter/scenes/activities/src/ohosTest/ets/test/ActivityBooking.test.ets,instrument-test,ActivityBookingUiTest,hvigorw onDeviceTest -p module=activities@ohosTest -p coverage=true -p scope=ActivityBookingUiTest,passed,16,16,100.00,0,0,N/A,4,4,100.00,initialRender;anonymous_5;anonymous_8;anonymous_12,rerun passed: 1/1 tests,code-clone_coverage.csv
20,1,similar,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/KidsTemplate/PostpartumCareCenter/scenes/activities/src/main/ets/view/ActivityBooking.ets,agc-template-market-harmonyos-demos,22d686590d1ffc25bea875ac504fc22c1054b45c,118,136,yes,agc-template-market-harmonyos-demos/KidsTemplate/PostpartumCareCenter/scenes/activities/src/ohosTest/ets/test/List.test.ets;agc-template-market-harmonyos-demos/KidsTemplate/PostpartumCareCenter/scenes/activities/src/ohosTest/ets/test/ActivityBooking.test.ets,instrument-test,ActivityBookingUiTest,hvigorw onDeviceTest -p module=activities@ohosTest -p coverage=true -p scope=ActivityBookingUiTest,passed,15,15,100.00,0,0,N/A,5,5,100.00,initialRender;anonymous_5;anonymous_8;anonymous_15;anonymous_18,rerun passed: 1/1 tests,code-clone_coverage.csv
21,1,original,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/LifestyleAndServiceTemplate/AdministrativeAffairs/Application/commons/components/src/main/ets/components/AboutUs.ets,agc-template-market-harmonyos-demos,77f2cafe2d25ada52b3a60eda00f1152660a76b6,42,57,yes,agc-template-market-harmonyos-demos/LifestyleAndServiceTemplate/AdministrativeAffairs/Application/commons/components/src/ohosTest/ets/test/List.test.ets;agc-template-market-harmonyos-demos/LifestyleAndServiceTemplate/AdministrativeAffairs/Application/commons/components/src/ohosTest/ets/test/AboutUsPage.test.ets,instrument-test,AboutUsPageTest,hvigorw onDeviceTest -p module=components@ohosTest -p coverage=true -p scope=AboutUsPageTest,passed,13,13,100.00,0,0,N/A,9,9,100.00,initialRender;anonymous_3;anonymous_5;anonymous_6;anonymous_11;anonymous_12;anonymous_16;anonymous_19;anonymous_20,rerun passed: 3/3 tests,code-clone_coverage.csv
21,1,similar,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/LifestyleAndServiceTemplate/AdministrativeAffairs/Application/commons/components/src/main/ets/components/AboutUs.ets,agc-template-market-harmonyos-demos,77f2cafe2d25ada52b3a60eda00f1152660a76b6,63,78,yes,agc-template-market-harmonyos-demos/LifestyleAndServiceTemplate/AdministrativeAffairs/Application/commons/components/src/ohosTest/ets/test/List.test.ets;agc-template-market-harmonyos-demos/LifestyleAndServiceTemplate/AdministrativeAffairs/Application/commons/components/src/ohosTest/ets/test/AboutUsPage.test.ets,instrument-test,AboutUsPageTest,hvigorw onDeviceTest -p module=components@ohosTest -p coverage=true -p scope=AboutUsPageTest,passed,13,13,100.00,0,0,N/A,10,10,100.00,initialRender;anonymous_3;anonymous_5;anonymous_6;anonymous_11;anonymous_12;anonymous_24;anonymous_26;anonymous_27;anonymous_28,rerun passed: 3/3 tests,code-clone_coverage.csv
22,1,original,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/LifestyleAndServiceTemplate/ShoppingMall/components/module_points/src/main/ets/components/SubmitPointConfirm.ets,agc-template-market-harmonyos-demos,975b21103b1cfc43542b1596c1aa77954d486db7,15,36,yes,agc-template-market-harmonyos-demos/LifestyleAndServiceTemplate/ShoppingMall/components/module_points/src/ohosTest/ets/test/List.test.ets;agc-template-market-harmonyos-demos/LifestyleAndServiceTemplate/ShoppingMall/components/module_points/src/ohosTest/ets/test/SubmitPointConfirm.test.ets,instrument-test,SubmitPointConfirmTest,hvigorw onDeviceTest -p module=module_points@ohosTest -p coverage=true -p scope=SubmitPointConfirmTest,passed,18,18,100.00,0,0,N/A,9,9,100.00,scanPointConfirmBuilder;anonymous_4;anonymous_5;anonymous_7;anonymous_8;anonymous_9;anonymous_10;anonymous_11;anonymous_12,rerun passed: 3/3 tests,code-clone_coverage.csv
22,1,similar,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/LifestyleAndServiceTemplate/ShoppingMall/components/module_points/src/main/ets/components/SubmitPointConfirm.ets,agc-template-market-harmonyos-demos,975b21103b1cfc43542b1596c1aa77954d486db7,60,81,yes,agc-template-market-harmonyos-demos/LifestyleAndServiceTemplate/ShoppingMall/components/module_points/src/ohosTest/ets/test/List.test.ets;agc-template-market-harmonyos-demos/LifestyleAndServiceTemplate/ShoppingMall/components/module_points/src/ohosTest/ets/test/SubmitPointConfirm.test.ets,instrument-test,SubmitPointConfirmTest,hvigorw onDeviceTest -p module=module_points@ohosTest -p coverage=true -p scope=SubmitPointConfirmTest,passed,19,19,100.00,0,0,N/A,10,10,100.00,photoPointConfirmBuilder;anonymous_13;anonymous_14;anonymous_15;anonymous_16;anonymous_17;anonymous_18;anonymous_19;anonymous_20;anonymous_21,rerun passed: 3/3 tests,code-clone_coverage.csv
23,1,original,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/MovieTVAndLivestreamingTemplate/WebShortDrama/features/mine/src/main/ets/pages/MyFavoritesPage.ets,agc-template-market-harmonyos-demos,22d686590d1ffc25bea875ac504fc22c1054b45c,8,32,yes,agc-template-market-harmonyos-demos/MovieTVAndLivestreamingTemplate/WebShortDrama/features/mine/src/ohosTest/ets/test/List.test.ets;agc-template-market-harmonyos-demos/MovieTVAndLivestreamingTemplate/WebShortDrama/features/mine/src/ohosTest/ets/test/MyFavoritesPage.test.ets;agc-template-market-harmonyos-demos/MovieTVAndLivestreamingTemplate/WebShortDrama/features/mine/src/ohosTest/ets/test/WatchRecordsPage.test.ets,instrument-test,"MyFavoritesPageUiTest,WatchRecordsPageUiTest","hvigorw onDeviceTest -p module=mine@ohosTest -p coverage=true -p scope=MyFavoritesPageUiTest,WatchRecordsPageUiTest",passed,16,15,93.75,0,0,N/A,13,12,92.31,resetStateVarsOnReuse;aboutToAppear;anonymous_1;initialRender;anonymous_2;anonymous_3;anonymous_4;anonymous_5;anonymous_6;anonymous_7;anonymous_8;anonymous_11;anonymous_12,rerun passed: 2/2 tests,code-clone_coverage.csv
23,1,similar,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/MovieTVAndLivestreamingTemplate/WebShortDrama/features/mine/src/main/ets/pages/WatchRecordsPage.ets,agc-template-market-harmonyos-demos,22d686590d1ffc25bea875ac504fc22c1054b45c,8,32,yes,agc-template-market-harmonyos-demos/MovieTVAndLivestreamingTemplate/WebShortDrama/features/mine/src/ohosTest/ets/test/List.test.ets;agc-template-market-harmonyos-demos/MovieTVAndLivestreamingTemplate/WebShortDrama/features/mine/src/ohosTest/ets/test/MyFavoritesPage.test.ets;agc-template-market-harmonyos-demos/MovieTVAndLivestreamingTemplate/WebShortDrama/features/mine/src/ohosTest/ets/test/WatchRecordsPage.test.ets,instrument-test,"MyFavoritesPageUiTest,WatchRecordsPageUiTest","hvigorw onDeviceTest -p module=mine@ohosTest -p coverage=true -p scope=MyFavoritesPageUiTest,WatchRecordsPageUiTest",passed,16,15,93.75,0,0,N/A,13,12,92.31,resetStateVarsOnReuse;aboutToAppear;anonymous_1;initialRender;anonymous_2;anonymous_3;anonymous_4;anonymous_5;anonymous_6;anonymous_7;anonymous_8;anonymous_10;anonymous_11,rerun passed: 2/2 tests,code-clone_coverage.csv
24,1,original,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/NavigationTemplate/AirTrip/Application/features/home/src/main/ets/pages/HomePage.ets,agc-template-market-harmonyos-demos,d7183319c204f878f978656cd7cd065cc8a48cbf,194,209,yes,agc-template-market-harmonyos-demos/NavigationTemplate/AirTrip/Application/features/home/src/ohosTest/ets/test/List.test.ets;agc-template-market-harmonyos-demos/NavigationTemplate/AirTrip/Application/features/home/src/ohosTest/ets/test/HomePageFlightBooking.test.ets,instrument-test,HomePageFlightBookingTest,hvigorw onDeviceTest -p module=home@ohosTest -p coverage=true -p scope=HomePageFlightBookingTest,passed,13,13,100.00,2,2,100.00,6,6,100.00,FlightBookingView;anonymous_11;anonymous_15;anonymous_16;anonymous_17;anonymous_19,rerun passed: destination non-empty branch covered,code-clone_coverage.csv
24,1,similar,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/NavigationTemplate/AirTrip/Application/features/home/src/main/ets/pages/HomePage.ets,agc-template-market-harmonyos-demos,d7183319c204f878f978656cd7cd065cc8a48cbf,238,253,yes,agc-template-market-harmonyos-demos/NavigationTemplate/AirTrip/Application/features/home/src/ohosTest/ets/test/List.test.ets;agc-template-market-harmonyos-demos/NavigationTemplate/AirTrip/Application/features/home/src/ohosTest/ets/test/HomePageFlightBooking.test.ets,instrument-test,HomePageFlightBookingTest,hvigorw onDeviceTest -p module=home@ohosTest -p coverage=true -p scope=HomePageFlightBookingTest,passed,13,13,100.00,2,2,100.00,6,6,100.00,FlightBookingView;anonymous_11;anonymous_15;anonymous_22;anonymous_24;anonymous_25,rerun passed: destination empty and non-empty branches covered,code-clone_coverage.csv
25,1,original,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/PhotographyTemplate/ImageProcessing/scenes/picture_beautification/src/main/ets/components/StickerToolBar.ets,agc-template-market-harmonyos-demos,22d686590d1ffc25bea875ac504fc22c1054b45c,78,131,yes,agc-template-market-harmonyos-demos/PhotographyTemplate/ImageProcessing/scenes/picture_beautification/src/ohosTest/ets/test/List.test.ets;agc-template-market-harmonyos-demos/PhotographyTemplate/ImageProcessing/scenes/picture_beautification/src/ohosTest/ets/test/StickerToolBar.test.ets,instrument-test,StickerToolBarInstrumentTest,hvigorw onDeviceTest -p module=picture_beautification@ohosTest -p coverage=true -p scope=StickerToolBarInstrumentTest,passed,43,43,100.00,8,8,100.00,12,12,100.00,initialRender;anonymous_3;anonymous_23;anonymous_24;anonymous_25;anonymous_26;anonymous_29;anonymous_30;anonymous_31;anonymous_32;anonymous_33;anonymous_34,rerun passed: 8/8 tests,code-clone_coverage.csv
25,1,similar,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/PhotographyTemplate/ImageProcessing/scenes/picture_beautification/src/main/ets/components/StickerToolBar.ets,agc-template-market-harmonyos-demos,22d686590d1ffc25bea875ac504fc22c1054b45c,141,194,yes,agc-template-market-harmonyos-demos/PhotographyTemplate/ImageProcessing/scenes/picture_beautification/src/ohosTest/ets/test/List.test.ets;agc-template-market-harmonyos-demos/PhotographyTemplate/ImageProcessing/scenes/picture_beautification/src/ohosTest/ets/test/StickerToolBar.test.ets,instrument-test,StickerToolBarInstrumentTest,hvigorw onDeviceTest -p module=picture_beautification@ohosTest -p coverage=true -p scope=StickerToolBarInstrumentTest,passed,41,41,100.00,8,8,100.00,10,10,100.00,stickerContentBuilder;anonymous_35;anonymous_36;anonymous_37;anonymous_40;anonymous_41;anonymous_42;anonymous_43;anonymous_44;anonymous_45,rerun passed: 8/8 tests,code-clone_coverage.csv
