record_index,message_index,fragment_role,rule,source_file,source_project,commit_hash,range_start,range_end,has_test_case,test_files,test_kind,test_suite,test_command,test_run_status,line_total_in_range,line_covered_in_range,line_coverage_pct,branch_side_total_in_range,branch_side_covered_in_range,branch_coverage_pct,function_total_overlapping_range,function_covered_overlapping_range,function_coverage_pct,overlapping_coverage_functions,note,_source_csv
6,1,original,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/homePage/src/main/ets/pages/AuthenticationPage.ets,agc-template-market-harmonyos-demos,8d76d0299bf144b7f2530972b68a757879ffdb83,1,71,yes,agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/homePage/src/ohosTest/ets/test/AuthenticationPage.test.ets;agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/homePage/src/ohosTest/ets/test/List.test.ets,instrument-test,AuthenticationPageInstrumentTest,"hvigorw --no-daemon onDeviceTest -p module=homePage@ohosTest -p coverage=true -p scope=PracticeModeInstrumentTest,AuthenticationPageInstrumentTest",passed,62,62,100.00,0,0,N/A,7,7,100.00,AuthenticationPageBuilder;anonymous_1;initialRender;anonymous_3;anonymous_4;anonymous_5;anonymous_6,PR #24 acceptance: AuthenticationPage executable lines/functions 100%; no branch denominator,code-clone_coverage.csv
6,1,similar,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/minePage/src/main/ets/views/AuthenticationPage.ets,agc-template-market-harmonyos-demos,57e5cea82eb459dbacbb753ec39f625cd88bada9,1,71,yes,agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/minePage/src/ohosTest/ets/test/AuthenticationPage.test.ets;agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/minePage/src/ohosTest/ets/test/List.test.ets,instrument-test,AuthenticationPageInstrumentTest,"hvigorw --no-daemon onDeviceTest -p module=minePage@ohosTest -p coverage=true -p scope=AuthenticationPageInstrumentTest,CollectionPageInstrumentTest,CoursePageInstrumentTest",passed,59,59,100.00,0,0,N/A,7,7,100.00,AuthenticationPageBuilder;anonymous_1;initialRender;anonymous_3;anonymous_4;anonymous_5;anonymous_6,PR #24 acceptance: AuthenticationPage executable lines/functions 100%; no branch denominator,code-clone_coverage.csv
7,1,original,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/minePage/src/main/ets/views/CollectionPage.ets,agc-template-market-harmonyos-demos,57e5cea82eb459dbacbb753ec39f625cd88bada9,20,46,yes,agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/minePage/src/ohosTest/ets/test/CollectionPage.test.ets;agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/minePage/src/ohosTest/ets/test/List.test.ets,instrument-test,CollectionPageInstrumentTest,"hvigorw --no-daemon onDeviceTest -p module=minePage@ohosTest -p coverage=true -p scope=AuthenticationPageInstrumentTest,CollectionPageInstrumentTest,CoursePageInstrumentTest",passed,3,3,100.00,0,0,N/A,1,1,100.00,aboutToDisappear,Adjusted by documented decorator rule: exclude @Local/@Param declaration lines and compiler-generated initializer/reset functions; all explicit executable lines and functions in the fragment are covered,code-clone_coverage.csv
7,1,similar,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/minePage/src/main/ets/views/CoursePage.ets,agc-template-market-harmonyos-demos,d7183319c204f878f978656cd7cd065cc8a48cbf,20,47,yes,agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/minePage/src/ohosTest/ets/test/CoursePage.test.ets;agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/minePage/src/ohosTest/ets/test/List.test.ets,instrument-test,CoursePageInstrumentTest,"hvigorw --no-daemon onDeviceTest -p module=minePage@ohosTest -p coverage=true -p scope=AuthenticationPageInstrumentTest,CollectionPageInstrumentTest,CoursePageInstrumentTest",passed,4,4,100.00,0,0,N/A,3,3,100.00,aboutToDisappear;initialRender;anonymous_3,Adjusted by documented decorator rule: exclude @Local declaration lines and compiler-generated initializer/reset functions; all explicit executable lines and functions in the fragment are covered,code-clone_coverage.csv
8,2,original,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/minePage/src/main/ets/views/CollectionPage.ets,agc-template-market-harmonyos-demos,57e5cea82eb459dbacbb753ec39f625cd88bada9,73,93,yes,agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/minePage/src/ohosTest/ets/test/CollectionPage.test.ets;agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/minePage/src/ohosTest/ets/test/List.test.ets,instrument-test,CollectionPageInstrumentTest,"hvigorw --no-daemon onDeviceTest -p module=minePage@ohosTest -p coverage=true -p scope=AuthenticationPageInstrumentTest,CollectionPageInstrumentTest,CoursePageInstrumentTest",passed,14,14,100.00,2,2,100.00,7,7,100.00,initialRender;deleteButtonBuilder;anonymous_13;anonymous_14;anonymous_15;anonymous_17;anonymous_18,"PR #24 acceptance: CollectionPage file aggregate lines 46/58 (79.31%), functions 14/18 (77.78%), branches 100%; fragment metrics retained",code-clone_coverage.csv
8,2,similar,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/minePage/src/main/ets/views/CoursePage.ets,agc-template-market-harmonyos-demos,d7183319c204f878f978656cd7cd065cc8a48cbf,74,94,yes,agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/minePage/src/ohosTest/ets/test/CoursePage.test.ets;agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/minePage/src/ohosTest/ets/test/List.test.ets,instrument-test,CoursePageInstrumentTest,hvigorw --no-daemon onDeviceTest -p module=minePage@ohosTest -p coverage=true -p scope=CoursePageInstrumentTest,passed,16,16,100.00,2,2,100.00,7,7,100.00,deleteButtonBuilder;anonymous_10;anonymous_11;anonymous_12;anonymous_13;anonymous_14;anonymous_15,device rerun passed; stable top action and selectable data cover all executable lines functions and branches,code-clone_coverage.csv
9,3,original,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/minePage/src/main/ets/views/CollectionPage.ets,agc-template-market-harmonyos-demos,57e5cea82eb459dbacbb753ec39f625cd88bada9,95,125,yes,agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/minePage/src/ohosTest/ets/test/CollectionPage.test.ets;agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/minePage/src/ohosTest/ets/test/List.test.ets,instrument-test,CollectionPageInstrumentTest,"hvigorw --no-daemon onDeviceTest -p module=minePage@ohosTest -p coverage=true -p scope=AuthenticationPageInstrumentTest,CollectionPageInstrumentTest,CoursePageInstrumentTest",passed,19,19,100.00,6,6,100.00,9,9,100.00,deleteButtonBuilder;anonymous_13;anonymous_15;anonymous_16;deleteSelectData;anonymous_20;isSelectAllClick;anonymous_21;anonymous_22,"PR #24 acceptance: CollectionPage file aggregate lines 46/58 (79.31%), functions 14/18 (77.78%), branches 100%; fragment metrics retained",code-clone_coverage.csv
9,3,similar,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/minePage/src/main/ets/views/CoursePage.ets,agc-template-market-harmonyos-demos,d7183319c204f878f978656cd7cd065cc8a48cbf,96,126,yes,agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/minePage/src/ohosTest/ets/test/CoursePage.test.ets;agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/minePage/src/ohosTest/ets/test/List.test.ets,instrument-test,CoursePageInstrumentTest,hvigorw --no-daemon onDeviceTest -p module=minePage@ohosTest -p coverage=true -p scope=CoursePageInstrumentTest,passed,18,18,100.00,6,6,100.00,8,8,100.00,deleteButtonBuilder;anonymous_10;anonymous_12;deleteSelectData;anonymous_17;isSelectAllClick;anonymous_18;anonymous_19,device rerun passed; selected and empty delete paths plus both select-all branches are covered,code-clone_coverage.csv
10,1,original,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/EntertainmentTemplate/MuseumTicket/features/home/src/main/ets/component/RecommendBar.ets,agc-template-market-harmonyos-demos,a94cda35dc27ed7a9425f23d16c1822ec7b6973f,3,53,yes,agc-template-market-harmonyos-demos/EntertainmentTemplate/MuseumTicket/features/home/src/ohosTest/ets/test/List.test.ets;agc-template-market-harmonyos-demos/EntertainmentTemplate/MuseumTicket/features/home/src/ohosTest/ets/test/RecommendBar.test.ets,instrument-test,RecommendBarTest,hvigorw --no-daemon onDeviceTest -p module=home@ohosTest -p coverage=true -p scope=RecommendBarTest,passed,41,41,100.00,0,0,N/A,15,15,100.00,initialRender;anonymous_1;anonymous_2;anonymous_3;anonymous_4;anonymous_5;anonymous_7;anonymous_8;anonymous_9;anonymous_10;anonymous_11;anonymous_12;anonymous_13;anonymous_14;anonymous_15,"hvigor printed getInitCoverageData failed, but test_result.txt passed and coverageReport.json was emitted",code-clone_coverage.csv
10,1,similar,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/EntertainmentTemplate/MuseumTicket/features/mine/src/main/ets/components/RecommendBar.ets,agc-template-market-harmonyos-demos,19e92afe273197fc2ff4a669341d5a8dd26f5ff6,3,53,yes,agc-template-market-harmonyos-demos/EntertainmentTemplate/MuseumTicket/features/mine/src/ohosTest/ets/test/List.test.ets;agc-template-market-harmonyos-demos/EntertainmentTemplate/MuseumTicket/features/mine/src/ohosTest/ets/test/RecommendBar.test.ets,instrument-test,MineRecommendBarTest,hvigorw --no-daemon onDeviceTest -p module=mine@ohosTest -p coverage=true -p scope=MineRecommendBarTest,passed,41,41,100.00,0,0,N/A,15,15,100.00,initialRender;anonymous_1;anonymous_2;anonymous_3;anonymous_4;anonymous_5;anonymous_7;anonymous_8;anonymous_9;anonymous_10;anonymous_11;anonymous_12;anonymous_13;anonymous_14;anonymous_15,exported function is RecommendBarTest; actual describe scope is MineRecommendBarTest; hvigor printed getInitCoverageData failed but emitted coverage report,code-clone_coverage.csv
11,1,original,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/EntertainmentTemplate/MuseumTicket/features/mine/src/main/ets/pages/AddVisitorPage.ets,agc-template-market-harmonyos-demos,8d76d0299bf144b7f2530972b68a757879ffdb83,1,158,yes,agc-template-market-harmonyos-demos/EntertainmentTemplate/MuseumTicket/features/mine/src/ohosTest/ets/test/List.test.ets;agc-template-market-harmonyos-demos/EntertainmentTemplate/MuseumTicket/features/mine/src/ohosTest/ets/test/AddVisitorPage.test.ets,instrument-test,AddVisitorPageTest,hvigorw --no-daemon onDeviceTest -p module=mine@ohosTest -p coverage=true -p scope=AddVisitorPageTest,passed,43,41,95.35,16,15,93.75,41,40,97.56,AddVisitorPageBuilder;anonymous_1;resetStateVarsOnReuse;cloneContact;isContactInfoValid;upDateContactInfo;anonymous_3;aboutToAppear;aboutToDisappear;initialRender;anonymous_4;anonymous_5;anonymous_6;anonymous_7;anonymous_8;anonymous_9;anonymous_10;anonymous_11;anonymous_12;anonymous_13;anonymous_14;anonymous_15;anonymous_16;anonymous_17;anonymous_18;anonymous_19;anonymous_20;anonymous_21;anonymous_22;anonymous_23;anonymous_24;anonymous_25;anonymous_26;anonymous_27;anonymous_28;anonymous_29;anonymous_30;anonymous_31;anonymous_32,"PR #24 acceptance: AddVisitorPage/EditVisitorPage lines 95.35%, functions 97.56%, branches 93.75%",code-clone_coverage.csv
11,1,similar,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/EntertainmentTemplate/MuseumTicket/features/mine/src/main/ets/pages/EditVisitorPage.ets,agc-template-market-harmonyos-demos,8d76d0299bf144b7f2530972b68a757879ffdb83,1,158,yes,agc-template-market-harmonyos-demos/EntertainmentTemplate/MuseumTicket/features/mine/src/ohosTest/ets/test/List.test.ets;agc-template-market-harmonyos-demos/EntertainmentTemplate/MuseumTicket/features/mine/src/ohosTest/ets/test/EditVisitorPage.test.ets,instrument-test,EditVisitorPageTest,hvigorw --no-daemon onDeviceTest -p module=mine@ohosTest -p coverage=true -p scope=EditVisitorPageTest,passed,43,41,95.35,16,15,93.75,41,40,97.56,EditVisitorPageBuilder;anonymous_1;resetStateVarsOnReuse;cloneContact;isContactInfoValid;upDateContactInfo;anonymous_3;aboutToAppear;aboutToDisappear;initialRender;anonymous_4;anonymous_5;anonymous_6;anonymous_7;anonymous_8;anonymous_9;anonymous_10;anonymous_11;anonymous_12;anonymous_13;anonymous_14;anonymous_15;anonymous_16;anonymous_17;anonymous_18;anonymous_19;anonymous_20;anonymous_21;anonymous_22;anonymous_23;anonymous_24;anonymous_25;anonymous_26;anonymous_27;anonymous_28;anonymous_29;anonymous_30;anonymous_31;anonymous_32,"PR #24 acceptance: AddVisitorPage/EditVisitorPage lines 95.35%, functions 97.56%, branches 93.75%",code-clone_coverage.csv
12,1,original,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/FinanceTemplate/FinancialManagement/commons/componentlib/src/main/ets/components/CommonProductProfile.ets,agc-template-market-harmonyos-demos,50634e2ca8454de0ec32b192c45c9550008aec84,39,56,yes,agc-template-market-harmonyos-demos/FinanceTemplate/FinancialManagement/commons/componentlib/src/ohosTest/ets/test/List.test.ets;agc-template-market-harmonyos-demos/FinanceTemplate/FinancialManagement/commons/componentlib/src/ohosTest/ets/test/CommonProductProfile.test.ets,instrument-test,CommonProductProfileTest,hvigorw --no-daemon onDeviceTest -p module=componentlib@ohosTest -p coverage=true -p scope=CommonProductProfileTest,passed,16,16,100.00,2,2,100.00,7,7,100.00,initialRender;anonymous_6;anonymous_11;anonymous_12;anonymous_13;anonymous_14;anonymous_15,rerun passed: 2/2 tests,code-clone_coverage.csv
12,1,similar,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/FinanceTemplate/FinancialManagement/commons/componentlib/src/main/ets/components/CommonProductProfile.ets,agc-template-market-harmonyos-demos,50634e2ca8454de0ec32b192c45c9550008aec84,67,84,yes,agc-template-market-harmonyos-demos/FinanceTemplate/FinancialManagement/commons/componentlib/src/ohosTest/ets/test/List.test.ets;agc-template-market-harmonyos-demos/FinanceTemplate/FinancialManagement/commons/componentlib/src/ohosTest/ets/test/CommonProductProfile.test.ets,instrument-test,CommonProductProfileTest,hvigorw --no-daemon onDeviceTest -p module=componentlib@ohosTest -p coverage=true -p scope=CommonProductProfileTest,passed,16,16,100.00,2,2,100.00,7,7,100.00,initialRender;anonymous_6;anonymous_16;anonymous_17;anonymous_18;anonymous_19;anonymous_20,rerun passed: 2/2 tests,code-clone_coverage.csv
