record_index,message_index,fragment_role,rule,source_file,range_start,range_end,has_test_case,test_files,test_kind,test_suite,test_command,test_run_status,test_result_file,coverage_report,coverage_report_current,line_total_in_range,line_covered_in_range,line_coverage_pct,branch_side_total_in_range,branch_side_covered_in_range,branch_coverage_pct,function_total_overlapping_range,function_covered_overlapping_range,function_coverage_pct,overlapping_coverage_functions,note
1,1,original,,/Users/jiaomingyang/project/arkts/repos/openharmony_tpc_samples/ohos_rive/.claude/worktrees/relaxed-satoshi-65600b/ohos_rive/library/src/main/ets/runtime/RiveAnimationView.ets,820,861,yes,/Users/jiaomingyang/project/arkts/repos/openharmony_tpc_samples/ohos_rive/.claude/worktrees/relaxed-satoshi-65600b/ohos_rive/library/src/ohosTest/ets/test/List.test.ets;/Users/jiaomingyang/project/arkts/repos/openharmony_tpc_samples/ohos_rive/.claude/worktrees/relaxed-satoshi-65600b/ohos_rive/library/src/ohosTest/ets/test/RendererAttributes.test.ets;/Users/jiaomingyang/project/arkts/repos/openharmony_tpc_samples/ohos_rive/.claude/worktrees/relaxed-satoshi-65600b/ohos_rive/library/src/ohosTest/ets/test/RiveAnimationView.test.ets;/Users/jiaomingyang/project/arkts/repos/openharmony_tpc_samples/ohos_rive/.claude/worktrees/relaxed-satoshi-65600b/ohos_rive/library/src/ohosTest/ets/testability/pages/Index.ets,instrument-test,RendererAttributesTest;RiveAnimationViewTest,"hvigorw.js --no-daemon ohosTest -p product=default -p coverage=true -p module=rive_ohos -p scope=RendererAttributesTest,RiveAnimationViewTest",passed,/Users/jiaomingyang/project/arkts/repos/openharmony_tpc_samples/ohos_rive/.claude/worktrees/relaxed-satoshi-65600b/ohos_rive/library/.test/default/intermediates/ohosTest/coverage_data/test_result.txt,/Users/jiaomingyang/project/arkts/repos/openharmony_tpc_samples/ohos_rive/.claude/worktrees/relaxed-satoshi-65600b/ohos_rive/library/.test/default/outputs/ohosTest/reports/coverageReport.json,yes_2026-04-27_22:39:11,34,34,100.00,10,5,50.00,2,2,100.00,setRiveResource;anonymous_30,rerun passed: 218/219 tests
2,1,original,,/Users/jiaomingyang/project/arkts/repos/openharmony_tpc_samples/ohos_rive/.claude/worktrees/relaxed-satoshi-65600b/ohos_rive/library/src/main/ets/runtime/RiveAnimationView.ets,863,903,yes,/Users/jiaomingyang/project/arkts/repos/openharmony_tpc_samples/ohos_rive/.claude/worktrees/relaxed-satoshi-65600b/ohos_rive/library/src/ohosTest/ets/test/List.test.ets;/Users/jiaomingyang/project/arkts/repos/openharmony_tpc_samples/ohos_rive/.claude/worktrees/relaxed-satoshi-65600b/ohos_rive/library/src/ohosTest/ets/test/RendererAttributes.test.ets;/Users/jiaomingyang/project/arkts/repos/openharmony_tpc_samples/ohos_rive/.claude/worktrees/relaxed-satoshi-65600b/ohos_rive/library/src/ohosTest/ets/test/RiveAnimationView.test.ets;/Users/jiaomingyang/project/arkts/repos/openharmony_tpc_samples/ohos_rive/.claude/worktrees/relaxed-satoshi-65600b/ohos_rive/library/src/ohosTest/ets/testability/pages/Index.ets,instrument-test,RendererAttributesTest;RiveAnimationViewTest,"hvigorw.js --no-daemon ohosTest -p product=default -p coverage=true -p module=rive_ohos -p scope=RendererAttributesTest,RiveAnimationViewTest",passed,/Users/jiaomingyang/project/arkts/repos/openharmony_tpc_samples/ohos_rive/.claude/worktrees/relaxed-satoshi-65600b/ohos_rive/library/.test/default/intermediates/ohosTest/coverage_data/test_result.txt,/Users/jiaomingyang/project/arkts/repos/openharmony_tpc_samples/ohos_rive/.claude/worktrees/relaxed-satoshi-65600b/ohos_rive/library/.test/default/outputs/ohosTest/reports/coverageReport.json,yes_2026-04-27_22:39:11,34,34,100.00,10,5,50.00,2,2,100.00,setRiveBytes;anonymous_31,rerun passed: 218/219 tests
3,1,original,,/Users/jiaomingyang/project/arkts/repos/openharmony_tpc_samples/ohos_rive/.claude/worktrees/relaxed-satoshi-65600b/ohos_rive/library/src/main/ets/runtime/RiveAnimationView.ets,905,951,yes,/Users/jiaomingyang/project/arkts/repos/openharmony_tpc_samples/ohos_rive/.claude/worktrees/relaxed-satoshi-65600b/ohos_rive/library/src/ohosTest/ets/test/List.test.ets;/Users/jiaomingyang/project/arkts/repos/openharmony_tpc_samples/ohos_rive/.claude/worktrees/relaxed-satoshi-65600b/ohos_rive/library/src/ohosTest/ets/test/RendererAttributes.test.ets;/Users/jiaomingyang/project/arkts/repos/openharmony_tpc_samples/ohos_rive/.claude/worktrees/relaxed-satoshi-65600b/ohos_rive/library/src/ohosTest/ets/test/RiveAnimationView.test.ets;/Users/jiaomingyang/project/arkts/repos/openharmony_tpc_samples/ohos_rive/.claude/worktrees/relaxed-satoshi-65600b/ohos_rive/library/src/ohosTest/ets/testability/pages/Index.ets,instrument-test,RendererAttributesTest;RiveAnimationViewTest,"hvigorw.js --no-daemon ohosTest -p product=default -p coverage=true -p module=rive_ohos -p scope=RendererAttributesTest,RiveAnimationViewTest",passed,/Users/jiaomingyang/project/arkts/repos/openharmony_tpc_samples/ohos_rive/.claude/worktrees/relaxed-satoshi-65600b/ohos_rive/library/.test/default/intermediates/ohosTest/coverage_data/test_result.txt,/Users/jiaomingyang/project/arkts/repos/openharmony_tpc_samples/ohos_rive/.claude/worktrees/relaxed-satoshi-65600b/ohos_rive/library/.test/default/outputs/ohosTest/reports/coverageReport.json,yes_2026-04-27_22:39:11,37,37,100.00,12,7,58.33,1,1,100.00,setRiveFile,rerun passed: 218/219 tests
4,1,original,,/Users/jiaomingyang/project/arkts/repos/openharmony_tpc_samples/ohos_rive/.claude/worktrees/relaxed-satoshi-65600b/ohos_rive/library/src/main/ets/runtime/renderers/RendererAttributes.ets,157,187,yes,/Users/jiaomingyang/project/arkts/repos/openharmony_tpc_samples/ohos_rive/.claude/worktrees/relaxed-satoshi-65600b/ohos_rive/library/src/ohosTest/ets/test/List.test.ets;/Users/jiaomingyang/project/arkts/repos/openharmony_tpc_samples/ohos_rive/.claude/worktrees/relaxed-satoshi-65600b/ohos_rive/library/src/ohosTest/ets/test/RendererAttributes.test.ets;/Users/jiaomingyang/project/arkts/repos/openharmony_tpc_samples/ohos_rive/.claude/worktrees/relaxed-satoshi-65600b/ohos_rive/library/src/ohosTest/ets/test/RiveAnimationView.test.ets;/Users/jiaomingyang/project/arkts/repos/openharmony_tpc_samples/ohos_rive/.claude/worktrees/relaxed-satoshi-65600b/ohos_rive/library/src/ohosTest/ets/testability/pages/Index.ets,instrument-test,RendererAttributesTest;RiveAnimationViewTest,"hvigorw.js --no-daemon ohosTest -p product=default -p coverage=true -p module=rive_ohos -p scope=RendererAttributesTest,RiveAnimationViewTest",passed,/Users/jiaomingyang/project/arkts/repos/openharmony_tpc_samples/ohos_rive/.claude/worktrees/relaxed-satoshi-65600b/ohos_rive/library/.test/default/intermediates/ohosTest/coverage_data/test_result.txt,/Users/jiaomingyang/project/arkts/repos/openharmony_tpc_samples/ohos_rive/.claude/worktrees/relaxed-satoshi-65600b/ohos_rive/library/.test/default/outputs/ohosTest/reports/coverageReport.json,yes_2026-04-27_22:39:11,29,29,100.00,0,0,N/A,1,1,100.00,RendererAttributes.constructor,rerun passed: 218/219 tests
